file,entity_type,en_field,ua_field,state,ua_status,ua_drafted_by,draft_revision,en_chars,ua_chars,mtime_days,defer,note
knowledge_base/hosted/content/biomarkers/bio_msh3_germline.yaml,biomarkers,notes,notes_ua,drafted_pending,pending_clinical_signoff,claude_v05_germline_batch3,1,554,164,49,,
knowledge_base/hosted/content/biomarkers/bio_msh6_germline.yaml,biomarkers,notes,notes_ua,drafted_pending,pending_clinical_signoff,claude_v03_germline,1,138,45,50,,
knowledge_base/hosted/content/biomarkers/bio_mum1_ihc.yaml,biomarkers,notes,notes_ua,drafted_v2plus,pending_clinical_signoff,claude_ua_02,2,529,532,56,,
knowledge_base/hosted/content/biomarkers/bio_mutyh_germline.yaml,biomarkers,notes,notes_ua,drafted_pending,pending_clinical_signoff,claude_v03_germline,1,225,98,50,,
knowledge_base/hosted/content/biomarkers/bio_myc_rearrangement.yaml,biomarkers,notes,notes_ua,drafted_v2plus,pending_clinical_signoff,claude_ua_02,2,326,323,56,,
knowledge_base/hosted/content/biomarkers/bio_myd88_l265p.yaml,biomarkers,notes,notes_ua,drafted_v2plus,pending_clinical_signoff,claude_ua_02,2,772,912,56,,
knowledge_base/hosted/content/biomarkers/bio_nf1_germline.yaml,biomarkers,notes,notes_ua,drafted_pending,pending_clinical_signoff,claude_v04_germline_batch2,1,435,110,50,,
knowledge_base/hosted/content/biomarkers/bio_nf1_mutation.yaml,biomarkers,notes,notes_ua,drafted_v2plus,pending_clinical_signoff,claude_ua_02,2,1313,1272,56,,
knowledge_base/hosted/content/biomarkers/bio_nf2.yaml,biomarkers,notes,notes_ua,drafted_v2plus,pending_clinical_signoff,claude_ua_02,2,1144,356,56,,
knowledge_base/hosted/content/biomarkers/bio_nf2_germline.yaml,biomarkers,notes,notes_ua,drafted_pending,pending_clinical_signoff,claude_v05_germline_batch3,1,395,174,49,,
knowledge_base/hosted/content/biomarkers/bio_notch1_mutation.yaml,biomarkers,notes,notes_ua,drafted_v2plus,pending_clinical_signoff,claude_ua_02,2,528,647,56,,
knowledge_base/hosted/content/biomarkers/bio_notch2_mutation.yaml,biomarkers,notes,notes_ua,drafted_v2plus,pending_clinical_signoff,claude_ua_02,2,984,861,56,,
knowledge_base/hosted/content/biomarkers/bio_npm1.yaml,biomarkers,notes,notes_ua,drafted_v2plus,pending_clinical_signoff,claude_ua_02,2,459,512,56,,
knowledge_base/hosted/content/biomarkers/bio_nras_q61r.yaml,biomarkers,notes,notes_ua,drafted_v2plus,pending_clinical_signoff,claude_ua_02,2,466,485,56,,
knowledge_base/hosted/content/biomarkers/bio_nrg1_fusion.yaml,biomarkers,notes,notes_ua,drafted_v2plus,pending_clinical_signoff,claude_ua_02,2,861,933,56,,
knowledge_base/hosted/content/biomarkers/bio_nthl1_germline.yaml,biomarkers,notes,notes_ua,drafted_pending,pending_clinical_signoff,claude_v05_germline_batch3,1,501,174,49,,
knowledge_base/hosted/content/biomarkers/bio_ntrk_fusion.yaml,biomarkers,notes,notes_ua,drafted_v2plus,pending_clinical_signoff,claude_ua_02,2,632,737,56,,
knowledge_base/hosted/content/biomarkers/bio_p16_ihc_cervical_dysplasia.yaml,biomarkers,notes,notes_ua,missing,,,,431,0,49,,
knowledge_base/hosted/content/biomarkers/bio_p53_ihc_dysplasia.yaml,biomarkers,notes,notes_ua,missing,,,,395,0,49,,
knowledge_base/hosted/content/biomarkers/bio_palb2_germline.yaml,biomarkers,notes,notes_ua,drafted_v2plus,pending_clinical_signoff,claude_ua_02,2,310,321,56,,
